Feature,Importance
FP_237,0.00029059142000600506
FP_571,0.0002903660006638511
FP_843,0.00028933028584167576
FP_680,0.0002887552999170164
FP_1556,0.00028798462323226536
FP_932,0.00028722520500927356
FP_2022,0.0002871644440988021
FP_552,0.00028590265432439565
FP_1185,0.0002851746593609055
FP_1925,0.0002844619859102256
FP_1065,0.00028254041586208046
FP_548,0.000281751655571966
FP_473,0.0002810120141425496
FP_277,0.0002799241323944296
FP_1581,0.000279737111713469
FP_1544,0.00027853383156977487
FP_1496,0.0002776059755548818
FP_1390,0.0002763994049978573
FP_1153,0.000274947413809533
FP_708,0.0002748478688429552
FP_961,0.0002734842770088711
FP_1601,0.00027340653738635153
FP_922,0.0002725790106477815
FP_1992,0.0002719810919759548
FP_41,0.00027143108709933006
FP_193,0.0002700965747230681
FP_1602,0.0002700024093136995
FP_1766,0.00026885549152449496
FP_1126,0.00026853573433581544
FP_632,0.0002680192634674169
FP_1071,0.00026801509606717264
FP_1808,0.0002663915282195482
FP_323,0.0002655707778572453
FP_798,0.0002635104001180392
FP_2020,0.0002633452382549877
FP_996,0.00026333267016387184
FP_1803,0.00026231984421309267
FP_2028,0.0002612664841630608
FP_2041,0.0002612632941857432
FP_1463,0.0002608666578325676
FP_1500,0.00026052138378852054
FP_384,0.00026050770595849
FP_62,0.00026001164146484954
FP_879,0.00025966434946998144
FP_1617,0.0002594015954071116
FP_441,0.00025924555857149593
FP_1781,0.00025821097827144143
FP_60,0.00025767007096603713
FP_997,0.00025762222710029006
FP_586,0.0002554974636666411
FP_684,0.00025496288884280157
FP_719,0.0002546314607263052
FP_361,0.00025092541003155015
FP_1148,0.0002500624491711975
FP_1984,0.00024974036859657094
FP_1761,0.00024961773509502694
FP_1634,0.00024804322409686187
FP_1140,0.0002476523389727079
FP_97,0.00024756172307955726
FP_946,0.00024731399987859846
FP_165,0.00024355045694510977
FP_617,0.00024160592443891478
FP_15,0.00024124576015621183
FP_2044,0.00024055341540206337
FP_1649,0.00024046840408473825
FP_1876,0.00024032875189242576
FP_248,0.0002397936593152219
FP_117,0.00023936471374921508
FP_1030,0.00023895558286909216
FP_691,0.00023697692831646947
FP_175,0.00023593788299329293
FP_1227,0.00023592198738925873
FP_1005,0.0002356442936323809
FP_1742,0.0002355499384072711
FP_327,0.00023356392406900128
FP_1517,0.00023278035053215325
FP_693,0.00023074228833530497
FP_1439,0.00023045496747163953
FP_1479,0.0002303785931699707
FP_885,0.00022900066154573934
FP_1746,0.00022868029486134567
FP_993,0.0002284107235807667
FP_1175,0.0002280563790958547
FP_1703,0.00022664825465694806
FP_1396,0.00022480967963936838
FP_1374,0.00022472098846534148
FP_1285,0.00022422499958152782
FP_1839,0.00022378088095342244
FP_526,0.00022325640642796463
FP_316,0.00022283902580222295
FP_107,0.00022192963059855525
FP_945,0.00022144009528048223
FP_1847,0.0002213296485756168
FP_747,0.00022047612602681634
FP_1873,0.00022042977625633695
FP_981,0.0002201871727113341
FP_1255,0.00021991125893548388
FP_1582,0.00021880457140901926
FP_618,0.00021806278455706153
FP_987,0.00021804987923790834
FP_1274,0.00021746360193448217
FP_590,0.0002170974127013591
FP_716,0.00021699919672741607
FP_1542,0.0002160202614491663
FP_1447,0.00021584399107292882
FP_1819,0.00021583332467667437
FP_740,0.00021469905207453904
FP_45,0.0002136971831732756
FP_1810,0.00021364268516947769
FP_1527,0.00021325947841955892
FP_295,0.00021302763297947978
FP_887,0.00021213371494446757
FP_782,0.00021189935958877424
FP_1548,0.00021035281737856812
FP_1507,0.0002103041776260583
FP_1183,0.0002100956786574016
FP_387,0.00020984636749883897
FP_584,0.00020932263674724126
FP_516,0.0002084757004422491
FP_536,0.00020823439449338066
FP_878,0.00020817059339022152
FP_598,0.0002069091174752415
FP_1590,0.0002066512029365045
FP_2021,0.0002060230999891913
FP_246,0.00020594178434481204
FP_1365,0.0002058735358109948
FP_744,0.0002032321697470395
FP_31,0.00020320990409751486
FP_973,0.0002030958828262401
FP_1912,0.00020121746667577377
FP_1260,0.0002011998722394375
FP_319,0.000200197896815252
FP_461,0.0002001969780076783
FP_600,0.00019910756509001603
FP_433,0.00019838288818494675
FP_1339,0.0001976044238238137
FP_915,0.0001968330450138504
FP_1692,0.0001965862007831273
FP_760,0.00019506859840328215
FP_730,0.00019498236341793955
FP_1383,0.0001948091705060186
FP_1090,0.00019446146133172748
FP_2033,0.0001940474194483674
FP_1025,0.00019378336145041894
FP_342,0.000193530271432592
FP_751,0.00019173136768870744
FP_39,0.00019161664789148883
FP_556,0.00019045722148284516
FP_145,0.00019029512226123043
FP_1125,0.0001900529112161374
FP_1366,0.0001890602974973773
FP_529,0.00018882061405656864
FP_1887,0.00018858528824036873
FP_1413,0.0001885645475478572
FP_476,0.0001869000068652169
FP_91,0.00018623104290291999
FP_1990,0.00018613177261031725
FP_380,0.00018595717211994584
FP_538,0.0001850178502258365
FP_317,0.00018469996450646366
FP_1624,0.0001836592880914106
FP_1044,0.000183540757531111
FP_1105,0.00018339186347385015
FP_1594,0.00018335573782169283
FP_58,0.0001830707190283696
FP_1224,0.00018269541991056405
FP_1641,0.00018199950518000193
FP_95,0.00018123147201596997
FP_425,0.00017996348589298988
FP_855,0.00017907581985926148
FP_1599,0.00017875506802531054
FP_1061,0.00017777309418010392
FP_819,0.00017760330932938565
FP_712,0.00017747040367371524
FP_1129,0.00017676050640030722
FP_984,0.00017667469206965005
FP_1567,0.00017660454120734407
FP_772,0.00017571335641524888
