UMAP1,UMAP2,pKi
3.6713965,13.962863,7.580044251510242
3.6644626,13.939431,8.770062314092065
1.067819,20.042585,5.769551078621726
3.6145988,14.133991,7.53003079050004
3.626834,14.093627,8.070019409484486
1.067588,20.04273,5.481486060122113
15.100495,11.246277,7.657577319177793
1.0732595,20.037527,5.568636235841013
1.0766884,20.038488,5.3979400086720375
3.8342047,16.965357,8.221848749616356
1.1363606,19.971594,6.060480747381382
15.10076,11.246214,7.161150909262744
15.101064,11.245799,8.154901959985743
2.5038013,16.3331,7.869988050328096
2.5026035,16.324854,8.079981083971084
3.9503665,17.25021,5.698970004336019
1.0402696,20.071217,5.267606240177032
5.43681,13.711676,5.949999401714238
5.4580374,13.775044,6.950007143079858
1.0552353,20.05627,5.3979400086720375
1.0664308,20.061811,6.0
3.769924,16.960201,7.552841968657781
8.403183,14.512949,8.029978734171634
8.434513,14.514959,7.789949150124863
2.4819844,16.363258,6.23000269597146
2.463469,16.356895,6.929999096197655
1.8184186,10.178579,7.50003813440381
1.821954,10.181992,6.909988975992853
4.0211053,17.155754,5.6777807052660805
3.6073115,13.978058,7.809948582240794
3.6199818,13.99285,8.389978975335854
1.0844269,20.03364,5.376750709602099
5.4354196,13.719608,6.719991046891814
8.41941,14.517006,7.849857838151442
8.4692955,14.498373,7.400007822415902
3.6426864,16.96078,5.721246399047171
1.0538961,20.058632,6.301029995663981
3.8430011,14.19939,7.199970640755866
3.809484,14.199192,8.20999647960951
5.485407,13.680482,6.209996479609511
3.819753,16.966528,5.886056647693163
1.0558269,20.057602,8.522878745280337
1.0533844,20.059643,7.823908740944319
5.4699206,13.6923685,7.250031916490597
5.467983,13.69649,6.0
1.0589164,20.053358,5.102372908709558
3.7841723,14.196585,6.890016705180107
3.7607296,14.185997,6.699991797446187
15.113237,11.232309,5.958607314841775
15.091559,11.253252,8.0
1.0339446,20.078428,6.522878745280337
8.43656,14.492921,7.510041520575165
1.0742128,20.035748,5.318758762624412
1.0835575,20.02802,5.619788758288394
15.100493,11.246131,8.221848749616356
7.727905,11.666422,7.010016541698601
8.442552,14.49353,7.849857838151442
3.6417782,16.91923,6.639993867770902
0.52215236,21.69786,7.869988050328096
0.509696,21.708195,8.560036064079094
6.1482654,6.99438,8.18996921359416
6.1986656,7.0461316,9.169989064063882
1.0681688,20.041046,5.096910013008056
8.413677,14.516909,7.450016388840311
5.4654408,13.713928,5.559999795538785
15.101256,11.245249,8.301029995663981
3.5995502,13.994436,7.3799681048737025
3.606506,14.01071,8.14002155835798
8.374244,14.523573,7.709965388637482
8.159061,14.911818,8.823908740944319
-25.009808,13.847879,9.236572006437065
7.865335,14.717016,7.958607314841775
8.057958,14.769338,5.698970004336019
-6.528806,12.678949,7.050609993355087
5.042816,15.943597,8.910094888560602
3.713467,17.40111,8.819874124835946
-6.5257406,12.682727,9.267606240177033
7.2384524,14.874342,6.619788758288394
6.6879845,15.30456,6.130768280269024
-10.506478,-25.37192,8.079981083971084
-6.5180545,12.688906,8.080921907623926
-6.3472185,12.825469,9.130768280269024
3.9085984,16.968147,8.869988050328097
-6.388782,12.800205,9.366531544420411
-6.543271,12.664761,8.920818753952375
-6.5236435,12.683973,5.958607314841775
7.290785,14.919518,7.301029995663981
3.7616284,17.509705,9.079981083971084
8.167488,14.926043,8.568636235841012
-10.683983,-20.52908,8.136677139879543
2.6584716,15.516218,8.639974910810603
-6.3534327,12.822341,8.070581074285707
7.206456,14.879547,7.481486060122112
8.324536,15.490903,7.481486060122112
3.988134,17.249279,6.199998172182031
-6.5168705,12.690714,7.876148359032914
-6.3571167,12.820863,8.537602002101044
7.1415396,14.82345,7.251811972993799
3.119986,18.468414,8.770062314092065
-6.524107,12.684125,7.468521082957745
7.2624826,14.884232,8.154901959985743
-6.541782,12.666013,8.920818753952375
-6.403874,12.782165,9.065501548756432
7.293022,14.850436,9.0
4.116655,16.987894,9.019996628416251
-6.524029,12.684622,8.036212172654444
