PC1,PC2,pKi
-5.037161016809318,10.950553143726244,7.853871964321762
-5.037157507734411,10.95054647188403,7.899974269892137
-4.74899672265269,9.47109495586701,6.777283528852417
-3.033849651741528,6.2422653989245225,6.920818753952375
-3.536825704829575,7.931775685172731,6.301029995663981
-3.5380700576336714,7.93414158666757,6.0
-5.048425472800277,10.801997877759407,7.481486060122112
-5.048422038386538,10.801991347871285,7.50003813440381
-4.103086258781741,6.370257900248797,7.744727494896693
-4.965221903276188,10.61167072621991,7.251811972993799
-4.293234349849984,9.84530795411438,8.154901959985743
-4.293232632643113,9.845304689170318,8.199970640755867
-1.327372683019294,1.0280619233968409,8.397940008672037
-5.159313357774969,9.7646657982109,7.387216143280264
-5.159310396215294,9.76466016736534,7.400007822415902
-5.159290013716363,9.764621413898853,7.50003813440381
-5.054741498363628,8.300886609528625,7.602059991327962
-5.054741797008301,8.30088717734498,7.599980364934842
-5.054741797008301,8.30088717734498,7.599980364934842
-5.031272391781376,9.516156472035485,7.698970004336019
-5.031272267346097,9.516156235445337,7.700057099977233
-5.031242385457858,9.51609942068684,8.100015437450608
-5.261432289080928,6.95746943505235,6.399996913372259
-5.262011784181796,6.958571235378496,6.199998172182031
-4.684245472590099,8.777400877073863,7.602059991327962
-4.684245771234774,8.77740144489022,7.599980364934842
-4.684193162486923,8.777301419306824,8.400007822415901
-1.3273726357338882,1.0280618334925833,8.400007822415901
-1.3273676931645502,1.028052436131846,8.700057099977233
-4.320492591984054,8.961732662058603,6.634512015109101
-4.320540350244674,8.961823465357977,6.599997654072044
-4.320411783712955,8.961579020415531,6.699991797446187
-5.702006417092185,9.318665697830031,7.958607314841775
-5.702003928386576,9.31866096602704,8.0
-5.7019988091191385,9.318651232708289,8.100015437450608
-5.885881651326374,9.562603262627348,7.795880017344075
-5.885881278020532,9.5626025528569,7.79997073344623
-5.885861599825291,9.562565138490662,8.100015437450608
-4.58587787846752,7.295180419337388,7.769551078621726
-4.585875016456072,7.29517497776395,7.79997073344623
-4.585841822100669,7.295111864975671,8.599980364934842
-5.313664586582972,9.74089791686787,7.327902142064283
-5.313672351344469,9.7409126800932,7.299988937677887
-5.3137452953058455,9.741051369238825,7.100015437450609
-4.9286550062272045,8.39375975483437,7.4089353929735005
-4.928657022078746,8.393763587594792,7.400007822415902
-4.928607596385366,8.393669613987417,7.700057099977233
-4.4375677807990215,8.717955868196267,7.522878745280337
-4.4375718125021075,8.717963533717109,7.50003813440381
-4.437505593023284,8.71783762990316,8.299988937677888
-5.506308491720918,9.641521036000047,7.853871964321762
-5.50630498264601,9.641514364157834,7.899974269892137
-5.50630498264601,9.641514364157834,7.899974269892137
-5.5321998520732585,9.98552903155456,7.920818753952375
-5.532201320409568,9.985531823318322,7.899974269892137
-5.532201320409568,9.985531823318322,7.899974269892137
-5.494790424770716,8.303276086280801,8.301029995663981
-5.494790454635182,8.303276143062437,8.299988937677888
-5.4947804699482825,8.303257159068838,9.0
-4.835067759677065,9.450527014781239,6.835647144215563
-4.835098843610111,9.45058611500058,6.799998134593398
-4.834783101529601,9.449985791155278,7.50003813440381
-7.64845431019154,10.200897464435602,7.199970640755866
-7.6483963482379265,10.20078726074397,7.400007822415902
-5.2499267815402755,8.13678193059289,8.154901959985743
-5.249925064333407,8.136778665648832,8.199970640755867
-5.24991249388138,8.13675476531193,8.899974269892137
-5.367169300195257,8.059733295364376,7.455931955649724
-5.367160888370301,8.059717301870272,7.50003813440381
-5.367101963287616,8.059605266970886,8.100015437450608
-4.71551024210754,7.246327502708813,7.853871964321762
-4.715506733032631,7.246320830866596,7.899974269892137
-4.715478533509384,7.24626721480692,8.899974269892137
-4.607206416089315,7.999616423170092,7.657577319177793
-4.6072013142428165,7.999606722973965,7.700057099977233
-4.6071595338530695,7.9995272854653745,8.500038134403809
-5.164269403747976,6.9498658153605195,9.05551732784983
-4.015759886819862,6.239709829355934,8.1249387366083
-4.09571985428913,6.68302700352122,6.935542010773082
-4.4815618120948955,6.743473918712342,7.259637310505756
-4.604782589924139,3.9661698729665154,5.860120913598763
-4.865281622797895,4.183845395190523,7.645891560852599
