tSNE1,tSNE2,pKi
-73.53343,-18.501205,7.849857838151442
-72.96622,-18.45609,7.400007822415902
1.844868,19.017466,5.721246399047171
-47.80694,-59.216732,6.301029995663981
-10.553121,-14.902329,7.199970640755866
-10.553121,-14.902329,8.20999647960951
-18.291239,-3.47873,6.209996479609511
2.7130287,19.178867,5.886056647693163
-46.17047,-59.375217,8.522878745280337
-46.668705,-59.42602,7.823908740944319
-16.465338,-5.2878613,7.250031916490597
-16.465338,-5.2878613,6.0
-45.550198,-58.38548,5.102372908709558
-9.026248,-14.139001,6.890016705180107
-9.026248,-14.139001,6.699991797446187
25.37663,56.59322,5.958607314841775
27.595314,55.586494,8.0
-46.906406,-60.437027,6.522878745280337
-74.33153,-19.760153,7.510041520575165
-46.161633,-54.909325,5.318758762624412
-47.390865,-56.837944,5.619788758288394
26.792671,56.958847,8.221848749616356
-79.1945,-44.6439,7.010016541698601
-73.41019,-17.134506,7.849857838151442
-5.578955,-9.093081,6.639993867770902
-12.960239,-80.902855,7.869988050328096
-12.960239,-80.902855,8.560036064079094
-71.7825,-69.72277,8.18996921359416
-71.7825,-69.72277,9.169989064063882
-43.83456,-58.666733,5.096910013008056
-73.500755,-18.536955,7.450016388840311
-20.52504,-3.4765747,5.559999795538785
26.334341,56.841095,8.301029995663981
1.8858072,-5.496278,7.3799681048737025
1.7509568,-5.5657516,8.14002155835798
-73.484634,-18.528164,7.709965388637482
-112.302246,22.756044,8.823908740944319
-66.21674,85.02694,9.236572006437065
-23.977386,11.563299,7.958607314841775
-63.36048,6.5332,5.698970004336019
-2.325057,65.62197,7.050609993355087
16.481249,-26.539963,8.910094888560602
13.101451,13.897914,8.819874124835946
-1.8943021,67.02545,9.267606240177033
-44.736664,6.848437,6.619788758288394
-15.292128,-8.165169,6.130768280269024
-23.85219,-9.551321,8.079981083971084
0.8634084,65.6072,8.080921907623926
-27.616924,-21.890821,9.130768280269024
9.960747,0.3627275,8.869988050328097
-27.903019,-19.16833,9.366531544420411
-0.40789583,65.652504,8.920818753952375
0.5530954,67.19607,5.958607314841775
-46.84596,3.9168766,7.301029995663981
10.179631,3.875574,9.079981083971084
-112.302246,22.756044,8.568636235841012
-43.91637,107.81737,8.136677139879543
19.157003,-2.7421768,8.639974910810603
-26.190048,-21.093105,8.070581074285707
-44.713448,6.903642,7.481486060122112
-32.03616,0.4726648,7.481486060122112
-64.41661,46.678783,6.199998172182031
-0.11926786,66.10316,7.876148359032914
-25.031376,-21.640116,8.537602002101044
-44.29518,6.0914392,7.251811972993799
11.1447115,23.30722,8.770062314092065
-0.9069087,65.97301,7.468521082957745
-49.318146,4.8827047,8.154901959985743
-0.25022092,65.77732,8.920818753952375
-26.604877,-19.810545,9.065501548756432
-49.348286,4.6813345,9.0
29.21544,79.63787,9.019996628416251
-0.55450606,66.67151,8.036212172654444
-23.977386,11.563299,9.096910013008056
-50.789993,6.9089,7.795880017344075
-46.854538,3.889733,7.823908740944319
9.960081,0.3636023,7.869988050328096
32.35486,-13.083218,9.289967300934247
-26.570658,-19.807327,8.823908740944319
-25.003775,-21.672863,7.619788758288394
-24.75743,-22.390547,9.017728766960431
-49.532043,5.6503773,8.096910013008056
-38.5671,49.919857,7.026872146400302
-26.462158,-20.120007,8.853871964321762
-23.788353,-19.769396,6.958607314841775
-44.71132,6.9075227,8.0
-0.8044414,5.7253294,8.049976093476673
6.4849043,5.509498,8.410050398674292
-0.9669739,65.94777,6.346787486224656
0.05310307,65.132385,8.356547323513812
0.11792361,63.811806,6.318758762624412
23.262987,68.91562,9.029978734171634
-27.613556,-21.87566,8.920818753952375
-24.371124,-20.440004,8.585026652029182
-24.29817,-20.113972,7.031517051446065
-46.210423,7.8798323,7.638272163982407
14.220744,-23.504297,7.299988937677887
19.159376,-2.7354414,9.059981844992336
-12.733653,-34.681232,9.13000599987826
12.873089,13.771784,7.299988937677887
-0.8232746,65.99454,8.443697499232712
-50.83832,6.9451876,9.0
-32.03616,0.4726648,8.55284196865778
-43.91637,107.81737,7.853871964321762
-46.74732,8.616884,6.292429823902063
-25.154148,-21.554943,8.638272163982407
-44.240326,7.273544,8.397940008672037
-46.64093,3.68321,6.920818753952375
-46.235607,7.8785105,7.5376020021010435
-32.03616,0.4726648,8.060480747381382
7.6425676,1.9518863,9.240030142445692
5.140686,2.2851338,9.33998877871067
-25.292925,-19.626677,8.568636235841012
-27.015123,-18.787682,9.42021640338319
-50.944042,7.0533032,9.0
-46.44515,2.7561305,6.585026652029182
-63.36048,6.5332,5.698970004336019
-11.422121,99.214134,8.387216143280265
-11.422121,99.214134,6.920818753952375
-15.078247,100.06968,8.67778070526608
-15.078247,100.06968,7.337242168318426
9.597649,104.25635,7.958607314841775
9.597649,104.25635,7.251811972993799
-2.0428803,108.27992,8.958607314841775
-2.0428803,108.27992,8.008773924307505
4.8660245,99.41037,7.853871964321762
4.8660245,99.41037,6.958607314841775
-20.08841,94.16782,8.619788758288394
-20.08841,94.16782,7.721246399047171
